 Mortalidade - São Paulo
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2019
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"350010 Adamantina";8;70;1;47;2;2;-;-;111;35;17;2;2;9;-;2;1;13;25;347
"350020 Adolfo";2;7;-;2;-;-;-;-;4;8;-;-;-;-;-;-;-;2;3;28
"350030 Aguaí";13;47;2;7;1;12;-;-;81;29;26;-;-;11;-;3;2;20;22;276
"350040 Águas da Prata";-;20;-;4;-;4;-;-;24;10;6;-;-;1;-;-;-;2;4;75
"350050 Águas de Lindóia";2;47;1;15;3;10;-;-;48;16;7;1;1;4;-;1;1;8;10;175
"350055 Águas de Santa Bárbara";3;12;-;2;-;1;-;-;14;8;5;-;-;2;-;-;-;3;6;56
"350060 Águas de São Pedro";2;11;-;1;-;8;-;-;13;5;2;-;1;-;-;1;1;-;3;48
"350070 Agudos";15;40;2;10;1;3;-;-;73;35;14;2;-;13;-;3;3;36;23;273
"350075 Alambari";1;6;-;4;-;1;-;-;15;3;1;-;-;4;-;-;-;4;5;44
"350080 Alfredo Marcondes";1;4;1;2;-;3;-;-;9;1;4;-;1;3;-;2;-;1;4;36
"350090 Altair";-;7;-;1;-;1;-;-;9;4;2;1;-;-;-;-;-;-;3;28
"350100 Altinópolis";4;20;-;6;-;4;-;-;36;25;10;1;-;3;-;1;-;2;4;116
"350110 Alto Alegre";2;11;-;2;-;2;-;-;9;7;-;-;1;1;-;1;-;2;1;39
"350115 Alumínio";3;21;2;7;-;1;-;-;20;13;8;1;-;3;-;3;1;14;11;108
"350120 Álvares Florence";2;8;-;1;-;3;-;-;7;3;2;-;1;-;-;-;-;-;3;30
"350130 Álvares Machado";2;28;-;8;2;16;-;-;57;24;7;3;1;10;-;-;3;7;15;183
"350140 Álvaro de Carvalho";-;6;-;1;-;1;-;-;13;5;1;-;-;-;-;-;-;-;4;31
"350150 Alvinlândia";1;3;-;1;-;-;-;-;6;2;1;-;-;-;-;-;1;-;-;15
"350160 Americana";57;287;9;77;11;76;-;-;292;170;89;5;12;75;-;13;9;224;83;1489
"350170 Américo Brasiliense";8;38;-;9;-;3;-;-;44;28;8;5;-;9;-;4;5;7;14;182
"350180 Américo de Campos";6;9;-;4;1;1;-;-;20;12;3;-;-;2;-;1;-;2;4;65
"350190 Amparo";22;98;2;32;5;18;-;-;145;90;35;1;4;33;-;4;3;25;36;553
"350200 Analândia";1;3;-;4;1;1;-;-;6;3;-;-;-;2;-;1;-;3;2;27
"350210 Andradina";18;104;5;32;5;11;-;-;165;84;22;1;2;22;1;4;5;3;46;530
"350220 Angatuba";5;27;1;4;1;3;-;-;32;19;7;1;-;7;-;2;3;26;17;155
"350230 Anhembi";1;11;-;3;1;-;-;-;17;8;1;-;1;1;-;1;-;-;4;49
"350240 Anhumas";-;5;1;-;-;-;-;-;8;5;3;-;-;2;-;-;-;3;1;28
"350250 Aparecida";17;52;1;15;2;15;-;-;97;37;17;1;-;19;-;3;-;23;21;320
